year,born_alive,population_total,population_total_20-45,household_total,household_over_1_person,household_avg_size,household_children,income_per_workingperson,capital_per_person,personal_cars
1960,239128,11417,4331,3171,2784,3.56,5019,2.3,52.8,464
1961,247407,11556,4387,3231,2821,3.54,5046,2.5,56.2,538
1962,246150,11721,4461,3286,2853,3.53,5074,2.7,58.1,635
1963,249879,11890,4532,3342,2886,3.52,5101,3.1,60,752
1964,250914,12042,4584,3419,2935,3.49,5129,3.4,63.8,903
1965,245216,12212,4631,3508,2995,3.45,5156,3.6,131.8,1095
1966,239611,12377,4686,3602,3058,3.4,5184,3.9,127.95,1303
1967,238678,12535,4660,3698,3121,3.34,5211,4.1,124.1,1515
1968,237112,12661,4640,3790,3181,3.3,5239,4.5,129.4,1745
1969,247588,12798,4638,3890,3246,3.25,5266,4.9,130.9,2012
1970,238912,12958,4658,3986,3307,3.21,5294,5.3,132.4,2163
1971,227180,13119,4679,4094,3378,3.17,5321,5.9,130.5,2426
1972,214133,13270,4695,4211,3454,3.11,5295,6.5,133.5,2633
1973,194993,13388,4691,4337,3538,3.04,5269,7.1,136.5,2810
1974,185982,13491,4671,4454,3613,2.99,5243,8.1,135.3,2928
1975,177876,13599,4646,4561,3678,2.95,5217,9,140.05,3093
1976,177090,13734,4624,4660,3737,2.9,5192,9.8,144.8,3286
1977,173296,13814,4579,4752,3788,2.87,5166,10.6,151.9,3518
1978,175550,13898,4528,4839,3835,2.83,5140,11.3,159,3703
1979,174979,13986,4480,4911,3869,2.81,5114,12,161.4,3906
1980,181294,14091,4432,5006,3921,2.78,5088,12.5,163.8,4123
1981,178569,14209,4396,5103,3964,2.75,5062,12.9,167,4263
1982,172071,14286,4331,5239,3999,2.69,5012,13,170.2,4321
1983,170246,14340,4253,5367,4024,2.63,4963,13.1,211.6,4385
1984,174436,14395,4168,5494,4045,2.58,4914,13.2,252.9,4471
1985,178136,14454,4085,5613,4057,2.54,4864,13.3,268.2,4551
1986,184513,14529,4019,5711,4107,2.51,4796,13.4,283.5,4616
1987,186667,14615,3968,5814,4156,2.49,4727,13.5,288.6,4676
1988,186647,14715,3922,5837,4160,2.48,4659,13.7,288.6,4806
1989,188979,14805,3875,5938,4218,2.45,4618,14.2,312.9,4967
1990,197965,14893,3822,6061,4249,2.42,4575,15.3,321.2,5118
1991,198665,15010,3786,6164,4320,2.4,4536,15.8,319.6,5205
1992,196734,15129,3762,6266,4353,2.38,4501,16.1,347.9,5247
1993,195748,15239,3746,6368,4401,2.36,4506,16.5,355.7,5341
1994,195611,15342,3751,6445,4442,2.35,4493,16.7,372.5,5456
1995,190513,15424,3760,6469,4360,2.35,4546,17.1,386.6,5581
1996,189521,15494,3772,6518,4394,2.34,4557,17.5,413.5,5664
1997,192443,15567,3787,6581,4423,2.33,4545,17.9,434,5810
1998,199408,15654,3809,6656,4455,2.32,4536,18.2,454.5,5931
